Table	Constraint	Notes
audit_events	actor_user_id must reference an existing user	Use system user for automated/background events.
audit_events	event_name must be present	Prefer dot-separated event names.
audit_events	occurred_at must be present	Store in UTC.
audit_events	event_details defaults to {}	Prefer jsonb in PostgreSQL.
audit_events	audit rows should be append-only	Prevent normal UI edits/deletes.
permissions	permission_key must be unique	Stable seed-managed identifier.
permissions	permission_key format should be dot-separated	Example: setup.users.create.
permissions	permission_group must be present	Used for grouped setup screens.
roles	role_key must be unique	Stable seed-managed or admin-managed identifier.
roles	name must be present	Human-readable display name.
roles	system roles should not be deleted through normal UI	Protect super_administrator.
roles	inactive roles should not be newly assigned	Existing assignments may remain for history.
role_permissions	role_id, permission_id must be unique	Prevents duplicate permission assignment.
stores	store_number must be unique	Store as string for leading zeroes.
stores	store_number should be numeric-only	If that remains a business rule.
stores	country_code should be uppercase two-character code	Example: US, CA.
stores	region_code should be uppercase where present	Example: MI, CA, ON.
stores	email should be normalized lowercase	Validate format at application/model layer.
stores	website_url should include protocol	Example: https://www.shelfstack.demo.
stores	time_zone should be valid	Prefer IANA names like America/New_York.
users	username must be unique after normalization	Choose uppercase or lowercase and apply consistently.
users	user_type must be controlled	Allowed: user, admin, system.
users	invalid_login_attempts >= 0	Default 0.
users	interactive users require password_digest	System user is non-interactive.
users	system user must have interactive_login_enabled = false	Enforce in model/service logic.
users	inactive users cannot log in	Enforce in authentication service.
users	PIN unlock is only for existing locked sessions	PIN cannot be used for initial login or permission escalation.
user_role_assignments	scope_type must be controlled	Allowed: global, store.
user_role_assignments	if scope_type = 'global', store_id must be null	Scope rule.
user_role_assignments	if scope_type = 'store', store_id must be present	Scope rule.
user_role_assignments	duplicate active assignments should not be allowed	Use partial unique indexes if using PostgreSQL.
user_role_assignments	inactive roles should not be newly assigned	Enforce in service/model logic.
workstations	workstation_type must be controlled	Allowed: register, service_desk, back_office, receiving.
workstations	workstation_number should be numeric-only	Display as zero-padded string.
workstations	workstation_number must be unique within store	Unique on store_id, workstation_number.
workstations	workstation_code should be generated consistently	Example: 001-REG001.
workstations	inactive workstations cannot be assigned to browsers/sessions	Enforce in service/model logic.
user_sessions	status must be controlled	Allowed: active, locked, ended, expired, force_ended.
user_sessions	session_token_digest must be unique	Never store raw token.
user_sessions	last_activity_at must be present	Used for inactivity tracking.
user_sessions	locked_at should be present when status is locked	Enforce in lifecycle service.
user_sessions	ended_at should be present when status is terminal	Terminal statuses: ended, expired, force_ended.
user_sessions	ended_by_user_id should be present when status is force_ended	Tracks authorized force logout.
user_sessions	terminal sessions should not return to active	Terminal statuses should be final.
workstation_assignments	assignment_token_digest must be unique	Never store raw cookie token.
